업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
로또게스트하우스,민박,외국인,영어,"경기도 수원시 영통구 센트럴파크로127번길 103, 4층 401호 (이의동, 수정하우스)","경기도 수원시 영통구 이의동 1309-3, 401호",1661-1114,3,,,,,,37.293916,127.052984,2020-04-29
방방게스트하우스,민박,외국인,영어,"경기도 수원시 팔달구 창룡대로41번길 16, 2층 (매향동)","경기도 수원시 팔달구 매향동 122-123, 2층",031-241-3525,5,,,,,,37.2831377,127.0200901,2020-04-29
행궁채게스트하우스,민박,외국인,영어,경기도 수원시 팔달구 신풍로 55 (장안동),경기도 수원시 팔달구 장안동 82-3,031-258-7851,4,,,,,,37.286052,127.0138061,2020-04-29
JUNHO HOUSE,민박,외국인,영어,경기도 수원시 권선구 세화로151번길 40-19 (서둔동),경기도 수원시 권선구 서둔동 37-19,031-291-4738,2,,,,,,37.26562418,126.991022,2020-04-29
웰컴 하우스,민박,외국인,영어,경기도 수원시 영통구 월드컵로97번길 35 (원천동),경기도 수원시 영통구 원천동 615-7,031-213-2058,4,,,,,,37.27414075,127.0515497,2020-04-29
송아당,민박,외국인,영어,경기도 수원시 팔달구 정조로905번길 19 (장안동),경기도 수원시 팔달구 장안동 22-4,,3,,,,,,37.28773527,127.013569,2020-04-29
더펜트하우스,민박,외국인,일본어,"경기도 수원시 장안구 송원로 20, A동 4202호 (송죽동)","경기도 수원시 장안구 송죽동 517, A동 4202호",,4,,,,,,37.29709584,127.0065686,2020-04-29
"J&K, SWEET HOME",민박,외국인,영어,"경기도 수원시 영통구 권광로260번길 36, 105동 2203호 (매탄동, 현대힐스테이트아파트)","경기도 수원시 영통구 매탄동 176, 현대힐스테이트아파트 105동 2203호",031-245-2456,1,,,,,,37.27214424,127.0419107,2020-04-29
로또Ⅱ게스트하우스,민박,외국인,영어,"경기도 수원시 영통구 중부대로462번길 41-21, 304호 (원천동)","경기도 수원시 영통구 원천동 323-3, 304호",1661-1114,1,,,,,,37.2674565,127.0653875,2020-04-29
선미의 홈스테이,민박,외국인,영어,"경기도 수원시 영통구 덕영대로 1462-14, 112동 103호 (망포동,힐스테이트영통)","경기도 수원시 영통구 망포동 728, 힐스테이트 영통 아파트",,2,,,,,,37.24167982,127.0471142,2020-04-29
수원역게스트하우스,민박,외국인,중국어,경기도 수원시 팔달구 갓매산로71번길 21-11(매산로2가),경기도 수원시 팔달구 매산로2가 27-61,031-247-5401,2,,,,,,37.2691194,127.0035739,2020-04-29
유어턴,민박,외국인,영어,"경기도 수원시 팔달구 경수대로421번길 15, 천지인빌딩 501호 (인계동)","경기도 수원시 팔달구 인계동 1013-2, 천지인빌딩",,1,,,,,,37.26400736,127.0242891,2020-04-29
까사브랑카,민박,외국인,영어,"경기도 수원시 장안구 율전로 89-16, 3층(율전동)","경기도 수원시 장안구 율전동 395-15, 3층",,4,,,,,,37.2978598,126.9679792,2020-04-29
수원 한옥 미가,펜션,내국인+외국인,,경기도 수원시 팔달구 중부대로87번길 20 (지동),경기도 수원시 팔달구 지동 114-5,,5,,,,,,37.277411,127.026132,2020-04-29
한옥노아재,펜션,내국인+외국인,,경기도 수원시 팔달구 화서문로42번길 36 (신풍동),경기도 수원시 팔달구 신풍동 89-4,031-245-2456,3,,,,,,37.283851,127.013649,2020-04-29
수원사,펜션,내국인+외국인,,경기도 수원시 팔달구 수원천로 300 (남수동),경기도 수원시 팔달구 남수동 92-1,031-245-9670,1,,,,,,37.28020547,127.0187722,2020-04-29
매홀재,펜션,내국인+외국인,,경기도 수원시 팔달구 화서문로75번길 25 (북수동),경기도 수원시 팔달구 북수동 31-1,031-8001-8008,6,,,,,,37.2870577,127.0168817,2020-04-29
여여제,펜션,내국인+외국인,,경기도 수원시 팔달구 화서문로16번길 43(신풍동),경기도 수원시 팔달구 신풍동 123-90,,1,,,,,,37.28381439,127.0088842,2020-04-29
